1,28,1,StartSlide,TestImage,3000000,StimuliDisplay,ScreenRecording-1,,,,,,,
2,31,,,,,,,,,,,1,1116.50861514312,525.61851824798
3,40,,,,,,,1,Mouse,Id:M;X:1136;Y:552,TestImage,1,1116.50861514312,525.61851824798
4,48,,,,,,,,,,,1,1116.50861514312,525.61851824798
5,56,,,,,,,,,,,1,1116.50861514312,525.61851824798
6,62,,,,,,,1,Mouse,Id:M;X:1134;Y:566,TestImage,,,
7,65,,,,,,,,,,,1,1116.50861514312,525.61851824798
8,73,,,,,,,,,,,1,1116.50861514312,525.61851824798
9,81,,,,,,,,,,,1,1116.50861514312,525.61851824798
10,86,,,,,,,1,Mouse,Id:M;X:1135;Y:584,TestImage,,,
11,90,,,,,,,,,,,1,1116.50861514312,525.61851824798
12,98,,,,,,,,,,,1,1116.50861514312,525.61851824798
13,106,,,,,,,,,,,1,1116.50861514312,525.61851824798
14,110,,,,,,,1,Mouse,Id:M;X:1143;Y:606,TestImage,,,
15,115,,,,,,,,,,,1,1116.50861514312,525.61851824798
16,123,,,,,,,,,,,1,1116.50861514312,525.61851824798
17,131,,,,,,,,,,,1,1116.50861514312,525.61851824798
18,134,,,,,,,1,Mouse,Id:M;X:1148;Y:616,TestImage,,,
19,140,,,,,,,,,,,1,1116.50861514312,525.61851824798
20,148,,,,,,,,,,,1,1116.50861514312,525.61851824798
21,156,,,,,,,,,,,1,1116.50861514312,525.61851824798
22,158,,,,,,,1,Mouse,Id:M;X:1154;Y:626,TestImage,,,
23,165,,,,,,,,,,,1,1116.50861514312,525.61851824798
24,173,,,,,,,,,,,1,1116.50861514312,525.61851824798
25,181,,,,,,,,,,,1,1116.50861514312,525.61851824798
26,190,,,,,,,,,,,1,1116.50861514312,525.61851824798
27,198,,,,,,,,,,,1,1116.50861514312,525.61851824798
28,206,,,,,,,,,,,1,1116.50861514312,525.61851824798
29,215,,,,,,,,,,,1,1116.50861514312,525.61851824798
30,223,,,,,,,,,,,1,1116.50861514312,525.61851824798
31,231,,,,,,,,,,,1,1116.50861514312,525.61851824798
32,240,,,,,,,,,,,1,1116.50861514312,525.61851824798
33,248,,,,,,,,,,,1,1116.50861514312,525.61851824798
34,256,,,,,,,,,,,1,1116.50861514312,525.61851824798
35,265,,,,,,,,,,,1,1116.50861514312,525.61851824798
36,273,,,,,,,,,,,1,1116.50861514312,525.61851824798
37,281,,,,,,,,,,,1,1116.50861514312,525.61851824798
38,290,,,,,,,,,,,1,1116.50861514312,525.61851824798
39,298,,,,,,,,,,,1,1116.50861514312,525.61851824798
40,306,,,,,,,,,,,1,1116.50861514312,525.61851824798
41,314,,,,,,,,,,,1,1116.50861514312,525.61851824798
42,323,,,,,,,,,,,1,,
43,331,,,,,,,,,,,1,,
44,339,,,,,,,,,,,1,,
45,348,,,,,,,,,,,1,943.491906503053,542.61421479018
46,356,,,,,,,,,,,1,943.491906503053,542.61421479018
47,364,,,,,,,,,,,1,943.491906503053,542.61421479018
48,373,,,,,,,,,,,1,943.491906503053,542.61421479018
49,381,,,,,,,,,,,1,943.491906503053,542.61421479018
50,388,1,StartMedia,TestImage,3000000,StimuliDisplay,ScreenRecording-1,,,,,,,
51,389,,,,,,,,,,,1,943.491906503053,542.61421479018
52,398,,,,,,,,,,,1,943.491906503053,542.61421479018
53,406,,,,,,,,,,,1,943.491906503053,542.61421479018
54,414,,,,,,,,,,,1,943.491906503053,542.61421479018
55,423,,,,,,,,,,,1,943.491906503053,542.61421479018
56,431,,,,,,,,,,,1,943.491906503053,542.61421479018
57,439,,,,,,,,,,,1,943.491906503053,542.61421479018
58,448,,,,,,,,,,,1,943.491906503053,542.61421479018
59,456,,,,,,,,,,,1,943.491906503053,542.61421479018
60,464,,,,,,,,,,,1,943.491906503053,542.61421479018
61,473,,,,,,,,,,,1,943.491906503053,542.61421479018
62,481,,,,,,,,,,,1,943.491906503053,542.61421479018
63,490,,,,,,,,,,,1,943.491906503053,542.61421479018
64,498,,,,,,,,,,,1,943.491906503053,542.61421479018
65,506,,,,,,,,,,,1,943.491906503053,542.61421479018
66,514,,,,,,,,,,,1,943.491906503053,542.61421479018
67,523,,,,,,,,,,,1,943.491906503053,542.61421479018
68,531,,,,,,,,,,,1,943.491906503053,542.61421479018
69,539,,,,,,,,,,,1,943.491906503053,542.61421479018
70,548,,,,,,,,,,,1,943.491906503053,542.61421479018
71,556,,,,,,,,,,,1,943.491906503053,542.61421479018
72,564,,,,,,,,,,,1,943.491906503053,542.61421479018
73,573,,,,,,,,,,,1,943.491906503053,542.61421479018
74,581,,,,,,,,,,,1,943.491906503053,542.61421479018
75,590,,,,,,,,,,,1,943.491906503053,542.61421479018
76,598,,,,,,,,,,,1,943.491906503053,542.61421479018
77,606,,,,,,,,,,,1,943.491906503053,542.61421479018
78,614,,,,,,,,,,,1,943.491906503053,542.61421479018
79,623,,,,,,,,,,,1,943.491906503053,542.61421479018
80,631,,,,,,,,,,,1,943.491906503053,542.61421479018
81,639,,,,,,,,,,,1,943.491906503053,542.61421479018
82,648,,,,,,,,,,,1,943.491906503053,542.61421479018
83,656,,,,,,,,,,,1,943.491906503053,542.61421479018
84,664,,,,,,,,,,,1,943.491906503053,542.61421479018
85,673,,,,,,,,,,,1,943.491906503053,542.61421479018
86,681,,,,,,,,,,,1,943.491906503053,542.61421479018
87,690,,,,,,,,,,,1,,
88,698,,,,,,,,,,,1,,
89,706,,,,,,,,,,,1,,
90,714,,,,,,,,,,,1,,
91,723,,,,,,,,,,,1,,
92,731,,,,,,,,,,,1,,
