"timestamp","U1","U2","U3","U4","U5","U6","U7","event_controller","event","U8","U9","x","y","corrected_y","corrected_x"
53820,,"","",,"","",,"","","",1,425.560372179744,436.000268071843,-333.000268071843,425.560372179744
53829,,"","",,"","",,"","","",1,425.560372179744,436.000268071843,-333.000268071843,425.560372179744
53837,,"","",,"","",,"","","",1,425.560372179744,436.000268071843,-333.000268071843,425.560372179744
53845,,"","",,"","",,"","","",1,425.560372179744,436.000268071843,-333.000268071843,425.560372179744
53854,,"","",,"","",,"","","",1,425.560372179744,436.000268071843,-333.000268071843,425.560372179744
53862,,"","",,"","",,"","","",1,425.560372179744,436.000268071843,-333.000268071843,425.560372179744
53870,,"","",,"","",,"","","",1,425.560372179744,436.000268071843,-333.000268071843,425.560372179744
53879,,"","",,"","",,"","","",1,425.560372179744,436.000268071843,-333.000268071843,425.560372179744
53887,,"","",,"","",,"","","",1,425.560372179744,436.000268071843,-333.000268071843,425.560372179744
53912,,"","",,"","",,"","","",1,389.642819591493,431.571383509792,-328.571383509792,389.642819591493
53920,,"","",,"","",,"","","",1,389.642819591493,431.571383509792,-328.571383509792,389.642819591493
53929,,"","",,"","",,"","","",1,389.642819591493,431.571383509792,-328.571383509792,389.642819591493
53937,,"","",,"","",,"","","",1,389.642819591493,431.571383509792,-328.571383509792,389.642819591493
53945,,"","",,"","",,"","","",1,389.642819591493,431.571383509792,-328.571383509792,389.642819591493
53954,,"","",,"","",,"","","",1,389.642819591493,431.571383509792,-328.571383509792,389.642819591493
53962,,"","",,"","",1,"Mouse","Id:M;X:186;Y:304","TestImage",1,389.642819591493,431.571383509792,-328.571383509792,389.642819591493
53970,,"","",,"","",,"","","",1,389.642819591493,431.571383509792,-328.571383509792,389.642819591493
53979,,"","",,"","",,"","","",1,389.642819591493,431.571383509792,-328.571383509792,389.642819591493
53987,,"","",,"","",,"","","",1,389.642819591493,431.571383509792,-328.571383509792,389.642819591493
54104,,"","",,"","",,"","","",1,263.372488061867,485.899516334918,-382.899516334918,263.372488061867
54112,,"","",,"","",,"","","",1,263.372488061867,485.899516334918,-382.899516334918,263.372488061867
54120,,"","",,"","",,"","","",1,263.372488061867,485.899516334918,-382.899516334918,263.372488061867
54129,,"","",,"","",1,"Mouse","Id:M;X:207;Y:349","TestImage",1,263.372488061867,485.899516334918,-382.899516334918,263.372488061867
54137,,"","",,"","",,"","","",1,263.372488061867,485.899516334918,-382.899516334918,263.372488061867
54145,,"","",,"","",,"","","",1,263.372488061867,485.899516334918,-382.899516334918,263.372488061867
54154,,"","",,"","",,"","","",1,263.372488061867,485.899516334918,-382.899516334918,263.372488061867
54162,,"","",,"","",,"","","",1,263.372488061867,485.899516334918,-382.899516334918,263.372488061867
54170,,"","",,"","",,"","","",1,263.372488061867,485.899516334918,-382.899516334918,263.372488061867
54179,,"","",,"","",,"","","",1,263.372488061867,485.899516334918,-382.899516334918,263.372488061867
54187,,"","",,"","",,"","","",1,263.372488061867,485.899516334918,-382.899516334918,263.372488061867
54195,,"","",,"","",,"","","",1,263.372488061867,485.899516334918,-382.899516334918,263.372488061867
54204,,"","",,"","",,"","","",1,263.372488061867,485.899516334918,-382.899516334918,263.372488061867
54212,,"","",,"","",,"","","",1,263.372488061867,485.899516334918,-382.899516334918,263.372488061867
54245,,"","",,"","",,"","","",1,146.605640377219,488.230523179297,-385.230523179297,146.605640377219
54254,,"","",,"","",,"","","",1,146.605640377219,488.230523179297,-385.230523179297,146.605640377219
54262,,"","",,"","",,"","","",1,146.605640377219,488.230523179297,-385.230523179297,146.605640377219
54270,,"","",,"","",,"","","",1,146.605640377219,488.230523179297,-385.230523179297,146.605640377219
54279,,"","",,"","",,"","","",1,146.605640377219,488.230523179297,-385.230523179297,146.605640377219
54287,,"","",,"","",,"","","",1,146.605640377219,488.230523179297,-385.230523179297,146.605640377219
54295,,"","",,"","",,"","","",1,146.605640377219,488.230523179297,-385.230523179297,146.605640377219
